026-01-25 20:42:46,649 - data.fyers_client - INFO - Initializing Fyers client...
2026-01-25 20:52:54,097 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M-EQ&resolution=1D&date_format=1&range_from=2026-01-03&range_to=2026-01-25&cont_flag=1 HTTP/1.1" 200 359
2026-01-25 20:52:54,101 - data.fetch_futures_oi - DEBUG - Returning 14 historical OI records
2026-01-25 20:52:54,101 - data.storage - INFO - Saving data to NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:53:07,536 - data.fyers_client - INFO - Initializing Fyers client...
2026-01-25 20:53:07,536 - data.fyers_client - INFO - TODO: Using hardcoded access token. This is not recommended for production.
2026-01-25 20:53:07,537 - data.fyers_client - DEBUG - Fyers client initialized successfully.
2026-01-25 20:53:07,537 - data.storage - INFO - Loading data from NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:53:07,538 - main - INFO - Last date found in futures file for M&M: 2026-01-02
2026-01-25 20:53:07,538 - main - DEBUG - Futures file found for M&M, fetching new data from 2026-01-03 to 2026-01-25
2026-01-25 20:53:07,538 - data.fetch_futures_oi - INFO - Fetching historical futures OI for NSE:M&M (26JAN) from 2026-01-03 to 2026-01-25 with CandleResolution.DAY_1 resolution
2026-01-25 20:53:07,539 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
2026-01-25 20:53:07,831 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M26JANFUT&resolution=1D&date_format=1&range_from=2026-01-03&range_to=2026-01-25&cont_flag=1&oi_flag=1 HTTP/1.1" 200 400
2026-01-25 20:53:07,835 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
2026-01-25 20:53:08,127 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M-EQ&resolution=1D&date_format=1&range_from=2026-01-03&range_to=2026-01-25&cont_flag=1 HTTP/1.1" 200 359
2026-01-25 20:53:08,131 - data.fetch_futures_oi - DEBUG - Returning 14 historical OI records
2026-01-25 20:53:08,136 - data.storage - INFO - Saving data to NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:54:23,961 - data.fyers_client - INFO - Initializing Fyers client...
2026-01-25 20:54:23,961 - data.fyers_client - INFO - TODO: Using hardcoded access token. This is not recommended for production.
2026-01-25 20:54:23,962 - data.fyers_client - DEBUG - Fyers client initialized successfully.
2026-01-25 20:54:23,962 - data.storage - INFO - Loading data from NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:54:23,964 - main - INFO - Last date found in futures file for M&M: 2026-01-02
2026-01-25 20:54:23,964 - main - DEBUG - Futures file found for M&M, fetching new data from 2026-01-03 to 2026-01-25
2026-01-25 20:54:23,964 - data.fetch_futures_oi - INFO - Fetching historical futures OI for NSE:M&M (26JAN) from 2026-01-03 to 2026-01-25 with CandleResolution.DAY_1 resolution
2026-01-25 20:54:23,965 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
2026-01-25 20:54:24,306 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M26JANFUT&resolution=1D&date_format=1&range_from=2026-01-03&range_to=2026-01-25&cont_flag=1&oi_flag=1 HTTP/1.1" 200 400
2026-01-25 20:54:24,309 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
2026-01-25 20:54:24,611 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M-EQ&resolution=1D&date_format=1&range_from=2026-01-03&range_to=2026-01-25&cont_flag=1 HTTP/1.1" 200 359
2026-01-25 20:54:24,616 - data.fetch_futures_oi - DEBUG - Returning 14 historical OI records
2026-01-25 20:54:24,616 - data.storage - INFO - Saving data to NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:54:24,632 - data.fyers_client - INFO - Initializing Fyers client...
2026-01-25 20:54:24,633 - data.fyers_client - INFO - TODO: Using hardcoded access token. This is not recommended for production.
2026-01-25 20:54:24,633 - data.fyers_client - DEBUG - Fyers client initialized successfully.
2026-01-25 20:54:24,633 - data.storage - INFO - Loading data from NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:54:24,634 - main - INFO - Last date found in futures file for M&M: 2026-01-02
2026-01-25 20:54:24,635 - main - DEBUG - Futures file found for M&M, fetching new data from 2026-01-03 to 2026-01-25
2026-01-25 20:54:24,635 - data.fetch_futures_oi - INFO - Fetching historical futures OI for NSE:M&M (26JAN) from 2026-01-03 to 2026-01-25 with CandleResolution.DAY_1 resolution
2026-01-25 20:54:24,635 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
2026-01-25 20:54:24,935 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M26JANFUT&resolution=1D&date_format=1&range_from=2026-01-03&range_to=2026-01-25&cont_flag=1&oi_flag=1 HTTP/1.1" 200 400
2026-01-25 20:54:24,938 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
2026-01-25 20:54:25,341 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M-EQ&resolution=1D&date_format=1&range_from=2026-01-03&range_to=2026-01-25&cont_flag=1 HTTP/1.1" 200 359
2026-01-25 20:54:25,344 - data.fetch_futures_oi - DEBUG - Returning 14 historical OI records
2026-01-25 20:54:25,345 - data.storage - INFO - Saving data to NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:55:56,209 - data.fyers_client - INFO - Initializing Fyers client...
2026-01-25 20:55:56,209 - data.fyers_client - INFO - TODO: Using hardcoded access token. This is not recommended for production.
2026-01-25 20:55:56,211 - data.fyers_client - DEBUG - Fyers client initialized successfully.
